Rating,Comment
4,"I'd rate it 7 out of 10. This device offers great value for the price, especially with its excellent OS, impressive battery life, and stylish design. However, the rear camera is below average, the selfie camera is poor, and there was some initial lag during setup. It's a solid choice for those seeking a genuine Android experience but not recommended for photo enthusiasts."
5,"One of the budget friendly,user friendly phone and value for money."
5,Good mobile ğŸ¤³ ğŸ“± ğŸ‘Œ
5,Presently ...Phone Is Good...Need to use and see ....how it performs
5,New in look...touch fell not good...sharpe edge...but camera and performance is good after 4 hours continue uses...battery performance is also good after 4 hour uses exp
5,Great designğŸ‘ŒğŸ»ğŸ‘ŒğŸ»ğŸ‘ŒğŸ»...Best phone you should byThis product is really awesome ğŸ˜This photo is just ultimateâ¤ï¸design is so premium and authentic.
5,Still copying data but the color is just amazing ... Only one thing I feel charging adaptor is not there in the box
4,"The much-awaited CMF Phone 1 looks better than the pictures.Pros:The colour is a beautiful  deep navy blue. It's also rather large. The display is very, very bright. The flat screen is a great plus point for me. That little dial is an attractive design feature for now.Thanks to Flipkart for the superfast delivery of the phone. Wish the accesories had been delivered together as well. The phone was launched at 12 noon. It was in my hands by six pm!Cons: The edges of the phone are very ..."
5,"Loved it. Carl Pei is really a hype creater. He literally making his company unique and innovative with many creative ideas. I liked this phone, especially the blue vegan back panel. I'll like to make some pov of mine about this phone later this week or after using it atleast for a week. Else if you are geeky than go for it."
5,"Image quality and features are very good, awesome design.ğŸ¤©"
3,I am surprised there is no inbuilt music appNegative points1 camera is below average2.in this prize range they should provide charger in box3.personally while holding phone screw points are     irritating mePositive points1.good software2.bright screen3.lite weight4.decent battery5.neat OS
5,This ig a good product
4,Very nice design and premium quality phone. Overall good product.
3,Sunper phone but something change
5,Super ğŸ˜ŠğŸ‘ like this price range
5,So hot
5,Very very good
5,"Very nice product, adpeter is so costly  on flipkart"
5,"Prompt delivery ğŸšš and the mobile is amazing in looks wise and performance wise, camera, battery are super and coming to interface it gives a great feel... It's just 3days experience hope will have the same feel even after sometime."
5,Solid rock like old one plus phone. Definitely buy it
5,Excellent product
5,"Amazing for the price. Nothing os is just so smooth. Feels like I am using ios. Performance is very good as it is a 4nm based chip.Camera is decent for the price. Best user experience in this price segment for sure. In-hand feel is also good, however people with smaller hands might face difficulty in adapting to it as it is boxy in design and screen is wider. Overall, can't complain about the product for the price it is available. Some people who are unnecessary hating on this phone need to e..."
5,Given the price range- it's a steal. Am coming from the likes of Iphones and oneplus devices. Had used Nothing phone (2) as well. On this particular device I did not find anything that would want me to go back to other mobiles. ..simply superb ! A new Value prop device. First of its kind. Way to go Nothing !!
5,Most Stylish and Affordable Phone
5,Overall 4.5/5
3,Power packed one in decent price. Camera could be better and Absence of nfc bit disappointed. On hand looking not as much a premium look. Plastic toy brought by 16005INR 128/8GB
3,Very nice
5,"Nice mobile, but CMF should give charging adapter. Overall mobile performance very good."
5,Great Mobile ğŸ“±The CMF Phone 1 not only features a lot of good stuff at a reasonable asking price but also flaunts a unique eye-catching design that everyone is curious about.
4,"Phone feel is good for the segment. 120hz screen is smooth. OS has slight learning curve. Camera is very average. Should have given 256gb option.ğŸ™ Matt plastic in the back is initially slippery which takes few days to get used to. Should have given in the box, safety back cover."
5,Good ğŸ‘
5,Good cellphone in this price range
5,Very good ğŸ‘
3,It's name is really nothing nothing is there in this mobile my money totally waste
4,"It's not up to the mark, touch is very bad. I would advise samsung at the same price range."
4,Good
5,Good
4,Awesome!Beautiful!All satisfied!
4,Not Good For Camara Lovers.Poor Camara Quality
5,Good mobile with a clean OS. Value for money.
4,"I bought CMF on lunch day. I am recommending, if u want good phone in range of below 20k sure u can go for it. It's worth for the price.1. The camera quality is phenomenal in depth level.2. Display is very very good.3. Design - it's very new to market with new design already nothing peak in the market. Colour also very new with orange ğŸ§¡4. Made in india5. Eco friendly - the phone had options in the right top and alert us how much hours u used the phone.6. Over all good mobile blindly ..."
5,Nice phone. One should try this phone as it's budget is not so high as per it's performance
5,The phone is very nice to look at and the display of the phone is superb
4,"I had a pathetic experience. Just after 13 hours, the Phone shut down automatically. Unable to restrat it. Today, I am taking it to the service center. Let's see what happens."
5,Camera is just good performance is good overall good
4,Good
4,Good product
5,"Value for money, worth it. design ğŸ’¯"
5,Jai shree ramI have a good phone for less money
5,The sticker with the company name and model number on the back panel of this mobile got removed in just 3 days. Very bed
5,costly phone. Lacks in stereo speaker no support of HDR in many apps. 120 hz refresh rates seems gimmick not working properly and poor quality haptics.  Motorola provides charger in box but not given wall charger by company in box.
5,It was great experience nice to use but the quality of back panel is very poor
5,camera quality not good
5,"Go for it awesome product,........."
5,Processor ğŸ¥µğŸŒ‹ğŸ‘
5,Grt phoneExcellent PerformanceClean UIAwesome DisplayGood Battery Back upAdvance Design
5,Worth to buyğŸ˜€
4,Good mid range phone
5,"Good phone at this price, it's a budget phone with good design"
5,Good to see like this product ğŸ‘ŒğŸ»
5,Camera quality front and back not good
3,Very bed experience in this product
5,"Not good as expected you can buy motorola mobile in same price and you will be satisfied with motorola ....,.................................."
5,Got the phone delivered in just 2 days!! I'm very happy with the phone. Looks very beautiful
5,Little overpriced and should has to br provide a chargerOverall good
5,Over all good ğŸ“±
3,Good
4,"It feels awesome when you touched it,Performance is also great.Go for it, best phone in this rangeAlso zero third party apps and ads,"
5,All good. Best phone under 17kWhere to buy charger it is showing coming soon
5,Perfectly perfect
5,design and build quality not goodtoo much price
5,awesome phone
5,best phone
5,It's too good in this range for price then oppo Vivo etcVery friendly and beautiful nice phoneThanks cmf
5,Product is no good very good
4,Rear camera glass not good .. it's very poor quality...
